signataire_original,type,date,url,titre
Améli Pineda,un reportage judiciaire,2020-04-18,https://www.ledevoir.com/societe/577278/au-coeur-de-la-tourmente,"Rencontre avec des préposés aux bénéficiaires, défenseurs de la dignité de nos aînés"
Améli Pineda,un reportage santé,2020-06-09,https://www.ledevoir.com/societe/sante/580452/soutien-psychosocial-a-l-ecoute-de-la-detresse,"Être à l'écoute de la détresse des travailleurs des CHSLD, le temps de la pandémie"
Améli Pineda,un reportage judiciaire,2020-03-21,https://www.ledevoir.com/societe/575497/residences-pour-aines-des-aines-mis-a-risque,Les recommandations pour les aînés encore contournées dans des résidences privées
Améli Pineda,un reportage santé,2020-03-23,https://www.ledevoir.com/societe/sante/575629/residences-pour-aines-cas-probable-dans-une-residence-pour-aines-des-employes-informes-deux-jours-plus-tard,Cas probable dans une résidence pour aînés : des employés informés deux jours plus tard
Améli Pineda,un reportage judiciaire,2021-05-20,https://www.ledevoir.com/societe/603020/violence-conjugale-la-police-de-longueuil-a-la-recherche-d-un-homme-qui-a-harcele-son-ex-conjointe,La police de Longueuil à la recherche d’un homme qui a harcelé son ex-conjointe
Améli Pineda,un reportage judiciaire,2020-11-12,https://www.ledevoir.com/societe/589666/violence-conjugale-le-cas-d-elisabeth-rioux-demontre-le-fardeau-des-victimes,Le cas d’Elisabeth Rioux démontre le fardeau des victimes de violence conjugale
Améli Pineda,un reportage judiciaire,2020-08-28,https://www.ledevoir.com/societe/584950/jugement-demande-de-retrait-denonciation-facebook,Une comédienne échoue à faire retirer une dénonciation pour inconduite sexuelle
Améli Pineda,un reportage judiciaire,2021-06-16,https://www.ledevoir.com/societe/611541/dis-son-nom-le-tribunal-refuse-l-anonymat-a-un-artiste-pour-sa-poursuite-en-diffamation,«Dis son nom»: le tribunal refuse l’anonymat à un artiste pour sa poursuite en diffamation
Améli Pineda,un reportage judiciaire,2021-03-31,https://www.ledevoir.com/societe/597940/violence-conjugale-voyez-ce-qui-est-arrive-a-ma-mere,"Violence conjugale: «voyez ce qui est arrivé à ma mère», avertit Louisa Paningayak"
Améli Pineda,un reportage judiciaire,2020-03-20,https://www.ledevoir.com/societe/sante/575314/coronavirus-la-famille-de-la-premiere-victime-supplie-les-quebecois-de-s-isoler,Coronavirus: la famille de la première victime supplie les Québécois de s’isoler
Emilie Nicolas,une chronique d’opinion,2021-03-11,https://ledevoir.com/opinion/chroniques/596674/le-controle-des-hommes-et-celui-de-l-etat,"Le contrôle des hommes, et celui de l’État"
Emilie Nicolas,une chronique d’opinion,2021-03-25,https://ledevoir.com/opinion/chroniques/597548/investissement-est-masculin-depense-est-feminin,"Investissement est masculin, dépense est féminin"
Emilie Nicolas,une chronique d’opinion,2022-08-11,https://ledevoir.com/opinion/chroniques/743721/les-mythes-et-realites-de-la-loi-21,Les mythes et réalités de la loi 21
Emilie Nicolas,une chronique d’opinion,2019-04-04,https://ledevoir.com/opinion/chroniques/551388/ce-qui-se-passe-au-quebec-comme-ailleurs-est-grave,Ce qui se passe au Québec comme ailleurs est grave
Emilie Nicolas,une chronique d’opinion,2019-02-07,https://ledevoir.com/opinion/chroniques/547276/la-fierte-c-est-bon-pour-tout-le-monde,"La fierté, c’est bon pour tout le monde"
Emilie Nicolas,une chronique d’opinion,2019-07-11,https://ledevoir.com/opinion/chroniques/558436/ces-cas-isoles-si-nombreux,"Les violences obstétricales, ces «cas isolés» si nombreux"
Emilie Nicolas,une chronique d’opinion,2020-02-06,https://ledevoir.com/opinion/chroniques/572322/au-dela-de-la-bauxite-il-y-a-aussi-les-gens,"Au-delà de la bauxite, il y a aussi les gens"
Emilie Nicolas,une chronique d’opinion,2021-07-29,https://ledevoir.com/opinion/chroniques/621246/freebritney-une-question-de-droits-de-la-personne,"#FreeBritney, une question de droits de la personne"
Emilie Nicolas,une chronique d’opinion,2019-08-22,https://ledevoir.com/opinion/chroniques/561072/bientot-trop-tard,Changements climatiques: bientôt trop tard
Emilie Nicolas,une chronique d’opinion,2019-11-28,https://ledevoir.com/opinion/chroniques/567978/la-place-des-communautes-culturelles,La place des «communautés culturelles»
Emilie Nicolas,une chronique d’opinion,2022-05-05,https://ledevoir.com/opinion/chroniques/707355/chronique-le-recul-du-droit-a-l-avortement-n-est-qu-un-debut,Le recul du droit à l’avortement n’est qu’un début
Emilie Nicolas,une chronique d’opinion,2022-11-17,https://ledevoir.com/opinion/chroniques/771102/chronique-agresseur-victime-et-autres-mythes-tenaces,"Agresseur, victime, et autres mythes tenaces"
Emilie Nicolas,une chronique d’opinion,2020-10-21,https://ledevoir.com/opinion/chroniques/588151/comment-te-faire-confiance-avec-cette-arme-sans-me-fatiguer,Comment te faire confiance avec cette arme sans me fatiguer
Emilie Nicolas,une chronique d’opinion,2020-12-17,https://ledevoir.com/opinion/chroniques/591857/parfaire-le-systeme-pas-la-victime,"Parfaire le système, pas la victime"
Emilie Nicolas,une chronique d’opinion,2021-02-05,https://ledevoir.com/opinion/chroniques/594691/remettre-en-question-les-pratiques-policieres,Remettre en question les pratiques policières
Emilie Nicolas,une chronique d’opinion,2020-01-09,https://ledevoir.com/opinion/chroniques/570431/dix-ans-plus-tard-la-terre-tremble-toujours,"Dix ans plus tard, la terre tremble toujours"
Emilie Nicolas,une chronique d’opinion,2019-10-03,https://ledevoir.com/opinion/chroniques/563942/se-battre-pour-sa-place-dans-son-propre-pays,Se battre pour sa place dans son propre pays
Emilie Nicolas,une chronique d’opinion,2019-05-16,https://ledevoir.com/opinion/chroniques/554450/un-forum-necessaire,Droits des Noirs: un forum nécessaire
Emilie Nicolas,une chronique d’opinion,2021-06-24,https://ledevoir.com/opinion/chroniques/613491/etre-de-la-releve-politique-a-quel-prix,"Être de la relève politique, à quel prix?"
Emilie Nicolas,une chronique d’opinion,2019-04-18,https://ledevoir.com/opinion/chroniques/552411/les-metropoles-societes-distinctes,"Les métropoles, sociétés distinctes?"
Éric Leblanc,une chronique sportive,2022-10-14,https://www.rds.ca/hockey/rocket/le-rocket-comble-un-retard-mais-chute-en-prolongation-1.16329059,"Le Rocket comble un retard, mais tombe en prolongation lors de son match d'ouverture (Éric Leblanc)"
Éric Leblanc,une chronique sportive,2023-02-02,https://www.rds.ca/hockey/canadiens/raymond-est-reconnaissant-envers-son-mentor-1.16563694,"LNH : Éric Raymond, du Canadien de Montréal, est reconnaissant envers son mentor, Benoît Allaire"
Éric Leblanc,une chronique sportive,2022-08-16,https://www.rds.ca/football/universitaire/jonathan-senecal-un-spectacle-a-ne-pas-manquer-1.15992494,"Football universitaire : Jonathan Sénécal, un spectacle à ne pas manquer aux commandes des Carabins"
Éric Leblanc,une chronique sportive,2022-10-20,https://www.rds.ca/hockey/levi-est-bien-parti-pour-repondre-aux-attentes-1.16333267,"Hockey : Encadré par Mike Condon, Devon Levi est bien parti pour jouer à la hauteur des attentes"
Éric Leblanc,une chronique sportive,2022-07-10,https://www.rds.ca/hockey/lnh/de-magnifiques-surprises-pour-savoie-et-langlois-1.15949872,Repêchage LNH : De magnifiques surprises pour Samuel Savoie et Jérémy Langlois repêchés hâtivement
Éric Leblanc,une chronique sportive,2023-01-31,https://www.rds.ca/hockey/canadiens/raymond-accorde-tout-le-merite-a-montembeault-1.16549579,"LNH : Éric Raymond, du Canadien, explique le progrès de Samuel Montembeault par le travail investi"
Éric Leblanc,une chronique sportive,2022-10-07,https://www.rds.ca/football/alouettes/philpot-electrisant-des-sa-saison-recrue-1.16310985,"LCF : Tyson Philpot, un receveur électrisant dès sa saison recrue avec les Alouettes de Montréal"
Éric Leblanc,une chronique sportive,2022-08-24,https://www.rds.ca/football/quand-une-ecole-du-tennessee-choisit-un-quart-du-quebec-1.16014812,Football : Nathan Brisebois a entamé son parcours comme quart-arrière dans une école du Tennessee
Éric Leblanc,une chronique sportive,2022-09-16,https://www.rds.ca/hockey/canadiens/beck-se-signale-encore-mais-holtz-gache-la-finale-1.16205652,"LNH : Owen Beck se signale à nouveau, mais les espoirs du CH perdent 4 à 3 face à ceux des Devils"
Éric Leblanc,une chronique sportive,2022-10-18,https://www.rds.ca/hockey/grace-a-levi-montreal-revient-encore-dans-la-vie-de-condon-1.16333195,"Hockey: Grâce à Devon Levi, Montréal revient encore dans la vie de Mike Condon, l'ancien du Canadien"
Éric Leblanc,une chronique sportive,2022-07-15,https://www.rds.ca/hockey/lnh/repechage-particulier-pour-madden-vincent-accepte-la-decision-1.15953751,"LNH : Un repêchage particulier pour Martin Madden fils, Pascal Vincent accepte la décision des Jets"
Éric Leblanc,une chronique sportive,2022-08-09,https://www.rds.ca/football/alouettes/realiste-d-integrer-lestage-parmi-les-partants-1.15984228,LCF : Pier-Olivier Lestage peut-il déjà être intégré parmi les partants des Alouettes de Montréal?
Éric Leblanc,une chronique sportive,2022-09-03,https://www.rds.ca/football/alouettes/on-ne-s-est-pas-presentes-1.16052996,Alouettes : Danny Maciocia estime que sa troupe « ne s'est pas présentée » contre le Rouge et Noir
Éric Leblanc,une chronique sportive,2022-09-16,https://www.rds.ca/hockey/moins-de-pression-que-slafkovsky-mesar-ne-se-plaint-pas-1.16201172,"Canadiens : Moins de pression que Juraj Slafkovsky, Filip Mesar ne se plaint pas (Éric Leblanc)"
Éric Leblanc,une chronique sportive,2022-10-05,https://www.rds.ca/football/alouettes/dequoy-redonne-en-l-honneur-de-sa-mere-1.16309647,"LCF : Marc-Antoine Dequoy, des Alouettes, redonne en l'honneur de sa mère en visitant les hôpitaux"
Éric Leblanc,une chronique sportive,2022-09-27,https://www.rds.ca/football/alouettes/absent-4-mois-stanback-devra-ajuster-son-approche-1.16301287,"Alouettes : Après une absence de 4 mois, William Stanback devra ajuster son approche (Éric Leblanc)"
Éric Leblanc,une chronique sportive,2022-10-19,https://www.rds.ca/football/alouettes/walter-fletcher-de-moins-en-moins-neglige-1.16333698,"LCF : Walter Fletcher, de moins en moins négligé, grâce à son rôle avec les Alouettes de Montréal"
Éric Leblanc,une chronique sportive,2023-02-09,https://www.rds.ca/football/nfl/un-chemin-parfois-ardu-pour-atteindre-le-super-bowl-1.16624512,Super Bowl : Les joueurs des Chiefs et des Eagles ont surmonté des épreuves pour atteindre ce match
Éric Leblanc,une chronique sportive,2022-09-20,https://www.rds.ca/football/alouettes/eugene-lewis-un-metronome-spectaculaire-1.16253047,"LCF : Eugene Lewis, le spectaculaire métronome des Alouettes de Montréal, Tyrice Beverette maraudeur"
Éric Leblanc,une chronique sportive,2022-11-09,https://www.rds.ca/hockey/rocket/geant-ou-pas-simoneau-ne-recule-pas-1.16384961,"LAH : Xavier Simoneau ne recule pas devant des géants, il inspire déjà ses coéquipiers du Rocket"
Hugo Dumas,une chronique télévision,2022-03-08,https://www.lapresse.ca/arts/chroniques/2022-03-08/a-coeur-battant/plus-de-christophe-l-allier-a-la-tele.php,À cœur battant | Plus de Christophe L’Allier à la télé !
Hugo Dumas,une chronique télévision,2022-06-27,https://www.lapresse.ca/arts/chroniques/2022-06-27/only-murders-in-the-building/meurtre-et-mystere-entre-trentenaire-et-septuagenaires.php,Only Murders in the Building | Meurtre et mystère entre trentenaire et septuagénaires ! 
Hugo Dumas,une chronique télévision,2022-07-13,https://www.lapresse.ca/arts/chroniques/2022-07-13/a-very-british-scandal/la-mini-miniserie-la-plus-extra.php,A Very British Scandal | La « mini » minisérie la plus extra 
Hugo Dumas,une chronique télévision,2022-08-19,https://www.lapresse.ca/arts/chroniques/2022-08-19/gros-dragons-petite-deception.php,"Gros dragons, petite déception ! "
Hugo Dumas,une chronique télévision,2022-05-25,https://www.lapresse.ca/arts/chroniques/2022-05-25/pour-toi-flora/la-verite-sans-conciliation-c-est-moyen.php,"Pour toi Flora | La vérité, sans conciliation ? C’est moyen"
Hugo Dumas,une chronique télévision,2022-06-16,https://www.lapresse.ca/arts/chroniques/2022-06-16/pieces-of-her/taillade-en-pieces-ou-piece-de-collection.php,Pieces of Her | Tailladé en pièces ou pièce de collection ? 
Hugo Dumas,une chronique télévision,2022-02-08,https://www.lapresse.ca/arts/chroniques/2022-02-08/the-woman-in-the-house/la-femme-qui-boit-a-la-fenetre-du-train.php,The Woman in the House... | La femme qui boit à la fenêtre du train
Hugo Dumas,une chronique télévision,2022-05-28,https://www.lapresse.ca/arts/chroniques/2022-05-28/faut-il-finir-toutes-les-series-que-l-on-commence.php,Faut-il finir toutes les séries que l’on commence ? 
Hugo Dumas,une chronique télévision,2022-06-06,https://www.lapresse.ca/arts/chroniques/2022-06-06/gala-quebec-cinema/a-la-recherche-de-notre-temps-perdu.php,Gala Québec Cinéma | À la recherche de notre temps perdu 
Hugo Dumas,une chronique télévision,2022-02-21,https://www.lapresse.ca/arts/chroniques/2022-02-21/big-brother-celebrites/un-mctrio-pour-une-double-double-elimination.php,Big Brother Célébrités | Un McTrio pour une double-double élimination 
Hugo Dumas,une chronique télévision,2022-04-05,https://www.lapresse.ca/arts/chroniques/2022-04-05/de-pierre-en-fille/plus-de-tele-pour-les-millenariaux.php,De Pierre en fille | Plus de télé pour les millénariaux ! 
Hugo Dumas,une chronique télévision,2022-03-10,https://www.lapresse.ca/arts/chroniques/2022-03-10/manuel-de-la-vie-sauvage/bonne-fete-virtuelle-kevin.php,"Manuel de la vie sauvage | Bonne fête (virtuelle), Kevin ! "
Hugo Dumas,une chronique télévision,2022-02-23,https://www.lapresse.ca/arts/chroniques/2022-02-23/c-est-comme-ca-que-je-t-aime-2/le-temps-des-cerises-dans-l-alcool.php,C’est comme ça que je t’aime 2 | Le temps des cerises (dans l’alcool) ! 
Hugo Dumas,une chronique télévision,2022-02-08,https://www.lapresse.ca/arts/television/2022-02-08/propos-deplaces/un-commentateur-ecarte-des-jeux-olympiques.php,Propos déplacés | Un commentateur écarté des Jeux olympiques
Hugo Dumas,une chronique télévision,2022-06-20,https://www.lapresse.ca/arts/chroniques/2022-06-20/finale-des-chefs/une-pate-a-l-encre-de-seiche-trop-seche.php,Finale des Chefs ! | Une pâte à l’encre de seiche trop sèche ! 
Hugo Dumas,une chronique télévision,2022-06-07,https://www.lapresse.ca/arts/chroniques/2022-06-07/meme-sans-gateau-l-avenir-de-leo-est-beau.php,"Même sans gâteau, l’avenir de Léo est beau ! "
Hugo Dumas,une chronique télévision,2022-01-13,https://www.lapresse.ca/arts/chroniques/2022-01-13/l-amour-est-dans-le-pre/la-machine-agricole-a-faire-des-bebes.php,L’amour est dans le pré | La machine agricole à faire des bébés 
Hugo Dumas,une chronique télévision,2022-06-15,https://www.lapresse.ca/arts/chroniques/2022-06-15/keep-sweet-pray-and-obey/sois-douce-obeis-et-marie-toi.php,"Keep Sweet – Pray and Obey | Sois douce, obéis et marie-toi "
Hugo Dumas,une chronique télévision,2022-04-11,https://www.lapresse.ca/arts/chroniques/2022-04-11/star-academie/deux-concurrents-plus-tard-dans-les-maritimes.php,Star Académie | Deux concurrents plus tard dans les Maritimes 
Hugo Dumas,une chronique télévision,2022-02-19,https://www.lapresse.ca/arts/2022-02-19/relance-culturelle/enfin-sortir-les-choix-de-nos-chroniqueurs.php,Relance culturelle | Enfin sortir ! Les choix de nos chroniqueurs
Thomas Gerbet,un reportage,2023-01-04,https://ici.radio-canada.ca/nouvelle/1945915/mckinsey-influence-canada-trudeau-immigration-conseils,"L’influence de McKinsey explose sous Trudeau, surtout à l’immigration | L'influence des cabinets-conseils"
Thomas Gerbet,un reportage,2019-03-18,https://ici.radio-canada.ca/nouvelle/1152023/lobbys-lobbyistes-centres-recherche-mapaq-ministere-agriculture-quebec,Des lobbyistes à la tête de la plupart des centres de recherche financés par le ministère de l’Agriculture
Thomas Gerbet,un reportage,2022-07-15,https://ici.radio-canada.ca/nouvelle/1898316/fonderie-horne-contaminants-metaux-arsenic-nickel-plomb,Fonderie Horne : des tonnes de contaminants différents retombent sur Rouyn-Noranda | Arsenic Rouyn-Noranda
Thomas Gerbet,un reportage,2023-01-14,https://ici.radio-canada.ca/nouvelle/1948188/firme-mckinsey-canada-ottawa-millions-contrats-ottawa,Les contrats octroyés à McKinsey dépassent 100 millions de dollars sous Justin Trudeau | L'influence des cabinets-conseils
Thomas Gerbet,un reportage,2023-01-27,https://ici.radio-canada.ca/nouvelle/1951346/fonderie-horne-quebec-attestation-rouyn-arsenic-zone-tampon,Fonderie Horne : Québec veut une dépollution accélérée et le déplacement de maisons | Arsenic Rouyn-Noranda
Thomas Gerbet,un reportage,2019-03-15,https://ici.radio-canada.ca/nouvelle/1158569/dessin-enfant-lettre-environnement-greve-manifestation-conseil-tresor-merlin-dube,"Avec son dessin, un enfant interpelle Québec sur le poids du budget de l'Environnement | Budget du Québec 2019"
Thomas Gerbet,un reportage,2023-01-13,https://ici.radio-canada.ca/nouvelle/1947953/quebec-solidaire-commission-parlementaire-mckinsey,Firme McKinsey : Québec solidaire veut faire témoigner 16 sous-ministres | L'influence des cabinets-conseils
Thomas Gerbet,un reportage,2022-10-11,https://ici.radio-canada.ca/nouvelle/1914754/rouyn-noranda-ministere-environnement-glencore-arsenic,Fonderie Horne : Québec a attendu 8 jours avant d’inspecter un « immense nuage brun » | Arsenic Rouyn-Noranda
Thomas Gerbet,un reportage,2022-08-18,https://ici.radio-canada.ca/nouvelle/1906364/fonderie-plan-action-2027-cadmium-nickel-plomb-rouyn,La Fonderie et Québec ne suivent pas toutes les recommandations de la santé publique | Arsenic Rouyn-Noranda
Thomas Gerbet,un reportage,2019-05-01,https://ici.radio-canada.ca/nouvelle/1167285/marie-montpetit-andre-lamontagne-pesticides-ingerence-intervenants-capern,Pesticides : l'opposition accuse le ministre de l'Agriculture de s'ingérer dans la commission parlementaire
Thomas Gerbet,un reportage,2019-05-09,https://ici.radio-canada.ca/nouvelle/1168835/inondation-sainte-marthe-sur-le-lac-milieux-humides-boise-ecole-zone-inondee,Une école en zone inondable? Sainte-Marthe-sur-le-Lac va reconsidérer sa décision | Crue printanière 2019
Thomas Gerbet,un reportage,2021-04-12,https://ici.radio-canada.ca/nouvelle/1783908/universite-laurentienne-coupes-faillite-programmes-franco-ontariens,Université au bord de la faillite : le français écope encore en Ontario | Crise à l'Université Laurentienne
Thomas Gerbet,un reportage,2021-10-07,https://ici.radio-canada.ca/nouvelle/1830042/dan-kraft-candidat-coderre-outremont,Les publications d’un candidat mettent l’équipe Coderre dans l’embarras | Élections municipales au Québec 2021
Thomas Gerbet,un reportage,2022-07-21,https://ici.radio-canada.ca/nouvelle/1899469/fonderie-horne-environnement-pollution-rouyn-noranda-metaux,La Fonderie Horne contamine la faune et la flore à plus de 50 km de Rouyn-Noranda | Arsenic Rouyn-Noranda
Thomas Gerbet,un reportage,2022-08-04,https://ici.radio-canada.ca/nouvelle/1903189/arsenic-gouvernement-juge-horne-atteindre-norme-quebecoise-rouyn-noranda,Arsenic : Québec juge pour la première fois que Rouyn-Noranda peut atteindre la norme | Arsenic Rouyn-Noranda
Thomas Gerbet,un reportage,2022-10-26,https://ici.radio-canada.ca/nouvelle/1927738/mckinsey-hydro-quebec-consultants-barrages-affaires,Hydro-Québec a versé des millions de dollars à McKinsey pour l’aider à gérer ses barrages | L'influence des cabinets-conseils
Thomas Gerbet,un reportage,2022-07-11,https://ici.radio-canada.ca/nouvelle/1897203/syndicat-fonderie-horne-pollution-rouyn-noranda-arsenic-stephane-larente,"Fonderie Horne : « entre l’arbre et l’écorce », les employés exigent la transparence | Arsenic Rouyn-Noranda"
Thomas Gerbet,un reportage,2022-09-30,https://ici.radio-canada.ca/nouvelle/1920666/mckinsey-quebec-covid-legault-gestion-pandemie,"Dans l’ombre, la firme McKinsey était au cœur de la gestion de la pandémie au Québec | L'influence des cabinets-conseils"
Thomas Gerbet,un reportage,2023-02-07,https://ici.radio-canada.ca/nouvelle/1954304/liens-mckinsey-banque-infrastructure-canada,Des liens étroits entre McKinsey et la Banque de l’infrastructure du Canada | L'influence des cabinets-conseils
Thomas Gerbet,un reportage,2022-10-26,https://ici.radio-canada.ca/nouvelle/1927955/quebec-solidaire-gouvernement-provincial-legault-mckinsey,Québec solidaire demande à François Legault de dévoiler qui fait appel à McKinsey | L'influence des cabinets-conseils
